# CSV-File created with merge-csv.com,,,
# -----------------------------------------------------------,,,
SUMMARY:,,,
Tasks,Estimation,,
Setup landing page,3,,
Create database for users,2,,
Implement google authentication,1,,
Login page frontend,1,,
Date form frontend,2,,
Calendar implementation,1,,
Setup yelp api,1,,
Setup weather api,1,,
Gather information from form to feed into api,1,,
Logic to generate date activities based on constraints,3,,
Setup activy display,1,,
Save activity function,1,,
,,,
,Total,,
,18,,
,,,
,Task,Estimation (hours),
,Setting up home page,3,
,Implementing Google authentication,1,
,Creating Database of users,1,
,Log in page,1,
,setting up Search filter,2,
,Weather API integration,1,
,Yelp API integration,1,
,Creating buttons for each function,1,
,setting up Result page,3,
,Function for saving the activity,2setup landing page,1
setup login front end,0.5,,
google oauth config,1,,
google oauth integration / jwt ,4,,
user data retrieval ,1,,
date form frontend design,1,,
weather api confiig / integration,1,,
yelp api config / integration,1,,
design back end logic to create list of activities,5,,
front end display of activities list,1,,
save activity to be viewed later,2,,
,,,
,18.5,,
,,,
,Task,Estimation(Hours),
,create database for users,2,
,build login website,3,
,build weather system,4,
,create location searching function,3,
,"collect data from google map (restaurant, entertainment...)",4,
,calendar calculator,3,
,generate possible plan based on budget,4,
,update plan due to the time constraint,3,
,save plan function,3,